id,name,population,state,state_id
2610,Gonzales,20826,Texas,44
2611,Gray,21895,Texas,44
2612,Grayson,133991,Texas,44
2613,Gregg,123707,Texas,44
2614,Grimes,28360,Texas,44
2615,Guadalupe,163694,Texas,44
2616,Hale,33830,Texas,44
2617,Hall,3028,Texas,44
2618,Hamilton,8484,Texas,44
2619,Hansford,5463,Texas,44
2620,Hardeman,3922,Texas,44
2621,Hardin,57207,Texas,44
2622,Harris,4698619,Texas,44
2623,Harrison,66726,Texas,44
2624,Hartley,5619,Texas,44
2625,Haskell,5813,Texas,44
2626,Hays,222631,Texas,44
2627,Hemphill,3825,Texas,44
2628,Henderson,82299,Texas,44
2629,Hidalgo,865939,Texas,44
2630,Hill,36354,Texas,44
2631,Hockley,22980,Texas,44
2632,Hood,60537,Texas,44
2633,Hopkins,36810,Texas,44
2634,Houston,23169,Texas,44
2635,Howard,36459,Texas,44
2636,Hudspeth,4795,Texas,44
2637,Hunt,96493,Texas,44
2638,Hutchinson,21198,Texas,44
2639,Irion,1522,Texas,44
2640,Jack,8843,Texas,44
2641,Jackson,14874,Texas,44
2642,Jasper,35872,Texas,44
2643,Jeff Davis,2252,Texas,44
2644,Jefferson,255001,Texas,44
2645,Jim Hogg,5248,Texas,44
2646,Jim Wells,40822,Texas,44
2647,Johnson,171361,Texas,44
2648,Jones,19817,Texas,44
2649,Karnes,15650,Texas,44
2650,Kaufman,128622,Texas,44
2651,Kendall,45641,Texas,44
2652,Kenedy,442,Texas,44
2653,Kent,726,Texas,44
2654,Kerr,52405,Texas,44
2655,Kimble,4362,Texas,44
2656,King,277,Texas,44
2657,Kinney,3767,Texas,44
2658,Kleberg,31129,Texas,44
2659,Knox,3653,Texas,44
2660,Lamar,49728,Texas,44
2661,Lamb,13158,Texas,44
2662,Lampasas,21229,Texas,44
2663,La Salle,7531,Texas,44
2664,Lavaca,20110,Texas,44
2665,Lee,17144,Texas,44
2666,Leon,17270,Texas,44
2667,Liberty,86323,Texas,44
2668,Limestone,23519,Texas,44
2669,Lipscomb,3355,Texas,44
2670,Live Oak,12166,Texas,44
2671,Llano,21646,Texas,44
2672,Loving,152,Texas,44
2673,Lubbock,307412,Texas,44
2674,Lynn,5877,Texas,44
2675,McCulloch,7987,Texas,44
2676,McLennan,254607,Texas,44
2677,McMullen,749,Texas,44
2678,Madison,14422,Texas,44
2679,Marion,9928,Texas,44
2680,Martin,5753,Texas,44
2681,Mason,4280,Texas,44
2682,Matagorda,36552,Texas,44
2683,Maverick,58485,Texas,44
2684,Medina,50921,Texas,44
2685,Menard,2139,Texas,44
2686,Midland,172578,Texas,44
2687,Milam,25131,Texas,44
2688,Mills,4921,Texas,44
2689,Mitchell,8145,Texas,44
2690,Montague,19596,Texas,44
2691,Montgomery,590925,Texas,44
2692,Moore,21485,Texas,44
2693,Morris,12339,Texas,44
2694,Motley,1234,Texas,44
2695,Nacogdoches,65711,Texas,44
2696,Navarro,49565,Texas,44
2697,Newton,13746,Texas,44
2698,Nolan,14751,Texas,44
2699,Nueces,362265,Texas,44
2700,Ochiltree,9947,Texas,44
2701,Oldham,2131,Texas,44
2702,Orange,83572,Texas,44
2703,Palo Pinto,28875,Texas,44
2704,Panola,23148,Texas,44
2705,Parker,138371,Texas,44
2706,Parmer,9864,Texas,44
2707,Pecos,15673,Texas,44
2708,Polk,50031,Texas,44
2709,Potter,119648,Texas,44
2710,Presidio,6948,Texas,44
2711,Rains,12159,Texas,44
2712,Randall,136271,Texas,44
2713,Reagan,3741,Texas,44
2714,Real,3478,Texas,44
2715,Red River,12175,Texas,44
2716,Reeves,15695,Texas,44
2717,Refugio,7032,Texas,44
2718,Roberts,903,Texas,44
2719,Robertson,17284,Texas,44
2720,Rockwall,100657,Texas,44
2721,Runnels,10234,Texas,44
2722,Rusk,54450,Texas,44
2723,Sabine,10589,Texas,44
2724,San Augustine,8232,Texas,44
2725,San Jacinto,28719,Texas,44
2726,San Patricio,66893,Texas,44
